,clicksCount,colorDepth,keyMediumCount,keyMediumSpeed,keyMediumTime,middleSpeed,screenDiagonal,screenHeight,screenWidth,userAgentCoresCount,userAgentDownLink,id,windowHistoryLength,userAgentSaveData,userAgentRtt,screenOrientation_horizontal,userAgentCodeName_Mozilla,userAgentEffectiveType_3g,userAgentEffectiveType_4g,userAgentName_Netscape,userAgentPlatform_Linux,userAgentPlatform_MacOS,userAgentPlatform_Win32,userAgentPlatform_Win64,Class
13,15,24,17,39,983,0.14448204307948792,50,1080,1920,15,11,80,2,True,110.0,1,1,0,1,1,0,0,1,0,0
14,15,24,4,41,941,0.01953483473741221,50,1080,1920,13,12,30,4,False,28.0,1,1,0,1,1,0,0,0,1,0
15,14,24,13,20,435,-0.09252903740121984,50,1080,1920,9,12,14,2,False,92.0,1,1,0,1,1,0,0,0,1,0
16,10,24,0,44,639,0.014931041932559409,50,1080,1920,11,14,18,3,False,101.0,1,1,0,1,1,1,0,0,0,0
17,13,24,16,31,705,0.4565027175368673,50,1080,1920,12,13,23,2,True,18.0,1,1,0,1,1,0,1,0,0,0
18,13,24,8,42,261,-0.16747824455976645,50,1080,1920,14,13,28,3,False,44.0,1,1,0,1,1,0,0,0,1,0
19,9,24,6,32,822,0.16393536748827772,50,1080,1920,7,12,7,1,False,110.0,1,1,0,1,1,1,0,0,0,0
20,13,24,4,42,1036,-0.06280987151243267,50,1080,1920,10,10,37,4,True,111.0,1,1,0,1,1,0,0,0,1,0
21,2,24,8,16,905,0.15810055543799145,50,1080,1920,11,11,41,4,False,72.0,1,1,0,1,1,1,0,0,0,0
22,10,24,9,49,468,0.8043338254559721,50,1080,1920,14,11,33,2,False,213.0,1,1,0,1,1,0,1,0,0,0
23,16,24,6,64,931,0.1723836538975928,50,1080,1920,15,10,53,2,False,15.0,1,1,0,1,1,1,0,0,0,0
24,14,24,6,40,698,0.2608811602926069,50,1080,1920,15,6,43,3,True,153.0,1,1,0,1,1,0,0,1,0,0
25,15,24,7,46,616,0.3399363044938635,50,1080,1920,15,13,20,1,False,74.0,1,1,0,1,1,1,0,0,0,0
26,11,24,1,55,659,0.2774631351702316,50,1080,1920,19,12,30,5,False,175.0,1,1,0,1,1,1,0,0,0,0
27,6,24,13,27,426,0.04484910838959669,50,1080,1920,10,9,27,2,True,243.0,1,1,0,1,1,0,1,0,0,0
28,7,24,7,38,246,0.5541430009476226,50,1080,1920,12,13,55,2,False,52.0,1,1,0,1,1,0,0,0,1,0
29,9,24,8,37,812,-0.3767104979163445,50,1080,1920,15,13,60,3,True,18.0,1,1,0,1,1,0,0,1,0,0
30,16,24,13,42,991,0.4147301161605987,50,1080,1920,12,12,52,3,False,21.0,1,1,0,1,1,0,0,0,1,0
31,12,24,9,28,1307,0.3739302613944335,50,1080,1920,7,20,28,1,True,104.0,1,1,0,1,1,0,0,0,1,0
32,10,24,7,44,1111,-0.025968541617836263,50,1080,1920,15,16,7,3,True,237.0,1,1,0,1,1,0,0,0,1,0
33,14,24,8,49,953,0.14999483666992253,50,1080,1920,17,10,52,3,True,180.0,1,1,0,1,1,0,0,0,1,0
34,18,24,3,33,827,0.050753247848390526,50,1080,1920,14,12,84,4,False,24.0,1,1,0,1,1,0,1,0,0,0
35,14,24,5,26,944,0.3688445987557486,50,1080,1920,13,13,4,5,True,131.0,1,1,0,1,1,0,0,1,0,0
36,5,24,5,29,202,0.15228945621404835,50,1080,1920,14,12,95,2,True,241.0,1,1,0,1,1,0,0,1,0,0
37,15,24,11,42,998,0.170013381226711,50,1080,1920,11,16,22,2,False,61.0,1,1,0,1,1,0,0,1,0,0
38,12,24,9,67,550,0.6538871738653296,50,1080,1920,8,8,51,4,True,190.0,1,1,0,1,1,1,0,0,0,0
39,17,24,5,26,586,0.2557466752031429,50,1080,1920,10,21,24,4,True,1.0,1,1,0,1,1,0,0,0,1,0
40,7,24,12,26,615,-0.05049647298296132,50,1080,1920,10,12,22,5,True,38.0,1,1,0,1,1,0,0,0,1,0
41,12,24,6,27,868,0.13909368686353024,50,1080,1920,12,11,7,5,True,34.0,1,1,0,1,1,1,0,0,0,0
42,4,24,4,22,821,0.3130262937027945,50,1080,1920,15,10,32,2,True,105.0,1,1,0,1,1,1,0,0,0,0
43,18,24,5,53,1143,-0.060903156474714726,50,1080,1920,15,18,71,4,False,123.0,1,1,0,1,1,1,0,0,0,0
44,12,24,7,46,1004,0.18555660460949386,50,1080,1920,17,13,81,2,True,144.0,1,1,0,1,1,0,1,0,0,0
45,11,24,3,25,442,0.4007838740246931,50,1080,1920,14,12,97,4,True,16.0,1,1,0,1,1,0,0,0,1,0
46,20,24,3,57,825,0.2726473884278763,50,1080,1920,12,11,80,3,False,166.0,1,1,0,1,1,0,0,0,1,0
47,15,24,16,50,997,-0.06786488648217255,50,1080,1920,13,11,14,3,False,92.0,1,1,0,1,1,0,0,0,1,0
48,19,24,4,33,894,0.1531722162855115,50,1080,1920,16,11,10,5,True,32.0,1,1,0,1,1,0,0,1,0,0
49,11,24,26,31,939,0.3953347556390092,50,1080,1920,6,9,66,2,False,81.0,1,1,0,1,1,1,0,0,0,0
50,25,24,4,27,834,0.4182759643756401,50,1080,1920,11,10,80,3,False,334.0,1,1,0,1,1,0,0,0,1,0
51,16,24,2,53,842,0.5845512381778064,50,1080,1920,9,17,22,3,True,109.0,1,1,0,1,1,1,0,0,0,0
52,10,24,11,51,844,0.1532160197025197,50,1080,1920,16,18,25,5,True,2.0,1,1,0,1,1,0,1,0,0,0
53,4,24,8,34,931,-0.022542060378820783,50,1080,1920,17,12,68,3,False,44.0,1,1,0,1,1,0,0,1,0,0
54,2,24,9,12,838,0.1407738288104406,50,1080,1920,2,9,89,4,False,142.0,1,1,0,1,1,0,1,0,0,0
55,4,24,13,37,816,0.1544924828698357,50,1080,1920,12,7,70,2,False,163.0,1,1,0,1,1,0,1,0,0,0
56,10,24,6,62,1216,0.26311382482684725,50,1080,1920,12,13,32,3,True,91.0,1,1,0,1,1,1,0,0,0,0
57,13,24,1,35,1193,0.3965565759162731,50,1080,1920,11,14,33,4,True,18.0,1,1,0,1,1,0,1,0,0,0
58,16,24,5,14,867,0.2752938388617886,50,1080,1920,28,10,9,4,False,155.0,1,1,0,1,1,1,0,0,0,0
59,20,24,5,45,1057,-0.05148459803066748,50,1080,1920,8,12,52,4,True,299.0,1,1,0,1,1,0,1,0,0,0
60,16,24,3,36,862,0.13311478151523606,50,1080,1920,6,18,25,2,False,228.0,1,1,0,1,1,0,0,0,1,0
61,16,24,4,39,808,-0.12057724705270552,50,1080,1920,14,10,36,3,False,1.0,1,1,0,1,1,1,0,0,0,0
62,3,24,3,36,522,0.4815769721804749,50,1080,1920,10,11,73,2,True,16.0,1,1,0,1,1,0,0,0,1,0
63,6,24,6,59,799,0.7154119580278547,50,1080,1920,10,13,24,2,True,69.0,1,1,0,1,1,0,0,1,0,0
64,9,24,7,51,1390,0.6561971176785644,50,1080,1920,11,20,65,5,True,99.0,1,1,0,1,1,0,0,1,0,0
65,7,24,4,51,606,0.26333392481188306,50,1080,1920,12,14,80,3,False,144.0,1,1,0,1,1,0,0,1,0,0
66,12,24,5,43,913,0.5086876582601686,50,1080,1920,5,12,30,2,True,138.0,1,1,0,1,1,0,1,0,0,0
67,4,24,5,-5,866,0.6678792234308569,50,1080,1920,10,5,50,3,True,185.0,1,1,0,1,1,0,0,0,1,0
68,6,24,5,44,1051,0.31517513936762703,50,1080,1920,7,9,35,2,False,23.0,1,1,0,1,1,0,0,1,0,0
69,19,24,5,39,1014,0.01257694064246441,50,1080,1920,14,12,5,5,False,0.0,1,1,0,1,1,0,0,1,0,0
70,8,24,3,19,394,0.18665626772262564,50,1080,1920,9,11,13,2,False,187.0,1,1,0,1,1,1,0,0,0,0
71,14,24,6,35,812,0.21685592086297434,50,1080,1920,7,11,48,4,False,61.0,1,1,0,1,1,0,1,0,0,0
72,7,24,6,51,851,0.24398962450973286,50,1080,1920,9,9,22,3,True,42.0,1,1,0,1,1,0,1,0,0,0
73,8,24,5,58,537,-0.2479173718423799,50,1080,1920,10,9,73,4,True,86.0,1,1,0,1,1,0,0,1,0,0
74,7,24,7,39,448,0.18621222235666732,50,1080,1920,10,18,27,4,False,74.0,1,1,0,1,1,1,0,0,0,0
75,11,24,3,44,571,0.3203944901614546,50,1080,1920,15,9,20,4,False,155.0,1,1,0,1,1,1,0,0,0,0
76,15,24,26,23,1008,0.4198904101994193,50,1080,1920,11,9,86,3,False,154.0,1,1,0,1,1,0,1,0,0,0
77,17,24,17,55,921,0.3961927536634669,50,1080,1920,12,12,60,4,True,228.0,1,1,0,1,1,0,1,0,0,0
78,19,24,8,31,1090,0.07752435652531911,50,1080,1920,4,13,14,3,True,9.0,1,1,0,1,1,1,0,0,0,0
79,8,24,7,26,706,-0.09986786289678662,50,1080,1920,11,20,72,3,True,67.0,1,1,0,1,1,0,1,0,0,0
80,-2,24,5,24,681,0.12433892601408135,50,1080,1920,15,19,36,3,False,3.0,1,1,0,1,1,0,0,1,0,0
81,23,24,5,56,639,0.014249366573923743,50,1080,1920,11,11,22,4,False,21.0,1,1,0,1,1,0,1,0,0,0
82,3,24,7,43,928,0.390816531399389,50,1080,1920,21,11,73,3,False,80.0,1,1,0,1,1,0,0,0,1,0
83,24,24,5,30,1066,-0.15101400703291226,50,1080,1920,12,13,21,0,False,163.0,1,1,0,1,1,0,0,0,1,0
84,10,24,16,40,880,0.3430767815130237,50,1080,1920,13,10,70,3,False,25.0,1,1,0,1,1,1,0,0,0,0
85,10,24,12,30,893,0.10651714378781107,50,1080,1920,13,11,2,2,False,268.0,1,1,0,1,1,0,1,0,0,0
86,13,24,12,25,730,-0.02872629391064675,50,1080,1920,9,10,22,4,False,101.0,1,1,0,1,1,0,0,1,0,0
87,4,24,4,34,496,0.28167519588673506,50,1080,1920,5,14,45,3,False,257.0,1,1,0,1,1,0,0,0,1,0
88,6,24,13,59,262,0.2672916671113373,50,1080,1920,14,15,85,2,True,132.0,1,1,0,1,1,0,1,0,0,0
89,14,24,0,42,882,0.11719066403786517,50,1080,1920,15,12,86,3,False,180.0,1,1,0,1,1,0,1,0,0,0
90,9,24,19,43,705,0.3486805898073921,50,1080,1920,10,16,31,3,True,144.0,1,1,0,1,1,0,1,0,0,0
91,3,24,8,33,780,0.0024404325447014985,50,1080,1920,6,12,23,3,True,77.0,1,1,0,1,1,1,0,0,0,0
92,6,24,7,39,865,0.4405388120930718,50,1080,1920,7,10,34,2,False,176.0,1,1,0,1,1,0,0,1,0,0
93,18,24,4,42,495,0.6500864819260472,50,1080,1920,9,11,11,3,False,77.0,1,1,0,1,1,0,0,1,0,0
94,13,24,2,50,810,0.15084339265703078,50,1080,1920,19,17,39,3,True,29.0,1,1,0,1,1,1,0,0,0,0
95,11,24,5,42,867,0.29227198447038083,50,1080,1920,12,9,11,5,True,103.0,1,1,0,1,1,0,0,1,0,0
96,10,24,6,28,612,0.31381626767863346,50,1080,1920,10,10,36,2,False,26.0,1,1,0,1,1,0,0,0,1,0
97,4,24,8,25,753,0.21663795477534814,50,1080,1920,15,12,87,2,False,187.0,1,1,0,1,1,0,1,0,0,0
98,7,24,1,25,840,0.004972600145854031,50,1080,1920,11,15,92,3,False,209.0,1,1,0,1,1,0,0,1,0,0
99,4,24,5,64,938,0.4424535495426984,50,1080,1920,18,9,60,1,False,93.0,1,1,0,1,1,0,0,1,0,0
100,4,24,5,61,877,-0.24436986550685785,50,1080,1920,13,18,34,3,False,97.0,1,1,0,1,1,1,0,0,0,0
101,11,24,7,39,673,0.05940220765506996,50,1080,1920,21,6,31,4,True,91.0,1,1,0,1,1,0,1,0,0,0
102,12,24,5,52,504,0.21974899188320465,50,1080,1920,12,11,43,4,True,13.0,1,1,0,1,1,0,0,1,0,0
103,5,24,5,24,916,-0.15825866461448654,50,1080,1920,9,10,62,5,False,246.0,1,1,0,1,1,1,0,0,0,0
104,10,24,3,44,1287,0.2392842794412519,50,1080,1920,14,13,100,3,True,207.0,1,1,0,1,1,0,1,0,0,0
105,13,24,8,12,253,0.3639126365295029,50,1080,1920,16,20,33,3,False,77.0,1,1,0,1,1,1,0,0,0,0
106,2,24,3,46,807,-0.09019210464065676,50,1080,1920,17,14,10,2,True,44.0,1,1,0,1,1,0,0,0,1,0
107,12,24,7,28,188,0.1033799794470778,50,1080,1920,12,14,77,3,False,3.0,1,1,0,1,1,1,0,0,0,0
108,6,24,7,46,624,0.2368283598979688,50,1080,1920,8,8,83,2,False,20.0,1,1,0,1,1,0,0,0,1,0
109,8,24,3,28,641,0.37693448589118506,50,1080,1920,5,11,12,3,True,5.0,1,1,0,1,1,0,1,0,0,0
110,15,24,7,19,487,0.2110361928337114,50,1080,1920,12,14,92,4,False,46.0,1,1,0,1,1,0,0,1,0,0
111,18,24,13,34,525,0.056314677261074364,50,1080,1920,11,20,47,3,True,265.0,1,1,0,1,1,0,0,1,0,0
112,14,24,16,29,836,-0.019794265640688848,50,1080,1920,2,15,1,3,False,16.0,1,1,0,1,1,0,1,0,0,0
113,15,24,6,33,511,-0.21213370852255467,50,1080,1920,15,17,80,3,True,195.0,1,1,0,1,1,0,1,0,0,0
114,5,24,8,43,466,0.2349554466619548,50,1080,1920,18,10,36,5,True,26.0,1,1,0,1,1,0,0,1,0,0
115,17,24,29,41,846,0.460154969168334,50,1080,1920,12,9,24,3,True,99.0,1,1,0,1,1,0,1,0,0,0
116,6,24,8,61,1096,0.25002783670563833,50,1080,1920,15,8,58,4,True,77.0,1,1,0,1,1,1,0,0,0,0
117,12,24,6,43,756,0.17240695151506572,50,1080,1920,9,9,55,4,True,114.0,1,1,0,1,1,0,1,0,0,0
118,8,24,2,35,674,0.2631352069338729,50,1080,1920,7,17,80,3,True,103.0,1,1,0,1,1,0,1,0,0,0
119,7,24,7,48,329,0.4426348257761384,50,1080,1920,10,16,67,1,True,106.0,1,1,0,1,1,0,0,1,0,0
120,8,24,6,38,528,0.2482010491291718,50,1080,1920,15,10,19,4,False,181.0,1,1,0,1,1,1,0,0,0,0
121,14,24,5,30,465,0.05665633637727245,50,1080,1920,8,13,47,4,True,24.0,1,1,0,1,1,1,0,0,0,0
122,4,24,6,34,765,0.17443298858528006,50,1080,1920,12,8,83,4,True,128.0,1,1,0,1,1,0,1,0,0,0
123,12,24,6,44,899,0.4716609835051738,50,1080,1920,17,12,83,5,True,160.0,1,1,0,1,1,0,1,0,0,0
124,17,24,5,20,837,0.3098528142188845,50,1080,1920,12,17,17,3,True,38.0,1,1,0,1,1,0,0,1,0,0
125,16,24,11,26,871,-0.0620763924559614,50,1080,1920,13,16,35,4,False,136.0,1,1,0,1,1,1,0,0,0,0
126,14,24,12,49,733,0.2468739838484833,50,1080,1920,7,13,81,3,False,95.0,1,1,0,1,1,0,1,0,0,0
127,6,24,7,57,614,-0.17239913736056486,50,1080,1920,12,7,20,2,True,70.0,1,1,0,1,1,0,1,0,0,0
128,12,24,8,42,737,0.4452044437639533,50,1080,1920,9,12,85,3,True,119.0,1,1,0,1,1,0,0,1,0,0
129,13,24,5,29,866,-0.008954336919136968,50,1080,1920,10,16,20,3,True,105.0,1,1,0,1,1,0,0,1,0,0
130,18,24,12,13,1302,0.1378352189657746,50,1080,1920,7,13,64,3,True,74.0,1,1,0,1,1,0,1,0,0,0
131,11,24,1,26,571,0.7866478339628107,50,1080,1920,11,24,26,3,False,95.0,1,1,0,1,1,0,1,0,0,0
132,10,24,4,14,663,0.2087223954506094,50,1080,1920,11,8,16,4,True,8.0,1,1,0,1,1,0,0,1,0,0
133,18,24,23,37,911,0.371168857917386,50,1080,1920,12,21,68,3,False,138.0,1,1,0,1,1,1,0,0,0,0
134,20,24,15,64,690,0.009880345434654388,50,1080,1920,15,16,41,3,True,5.0,1,1,0,1,1,0,0,1,0,0
135,22,24,6,53,689,0.416939407686644,50,1080,1920,6,21,45,2,True,70.0,1,1,0,1,1,0,0,0,1,0
136,11,24,7,41,1030,0.8285799986939293,50,1080,1920,12,11,12,2,True,58.0,1,1,0,1,1,0,0,0,1,0
137,10,24,4,45,15,0.04132848389471714,50,1080,1920,11,9,46,3,False,138.0,1,1,0,1,1,0,0,1,0,0
138,11,24,5,37,826,0.18163291798885234,50,1080,1920,13,17,91,3,True,176.0,1,1,0,1,1,0,0,0,1,0
139,13,24,5,56,1033,0.4617556643753163,50,1080,1920,13,10,36,4,True,166.0,1,1,0,1,1,0,0,1,0,0
140,15,24,4,46,603,-0.1307806277250917,50,1080,1920,15,15,40,3,False,187.0,1,1,0,1,1,0,1,0,0,0
141,12,24,4,57,604,0.4996047361592285,50,1080,1920,10,8,22,0,False,203.0,1,1,0,1,1,0,0,1,0,0
142,19,24,8,49,865,0.08972822102243103,50,1080,1920,12,15,54,2,False,127.0,1,1,0,1,1,0,0,1,0,0
143,1,24,6,61,660,0.1951918627496212,50,1080,1920,7,21,28,3,False,67.0,1,1,0,1,1,0,0,0,1,0
144,17,24,10,48,752,-0.013407298883736207,50,1080,1920,10,8,78,4,True,85.0,1,1,0,1,1,0,0,0,1,0
145,16,24,6,55,789,0.5357264121290315,50,1080,1920,9,11,82,4,True,0.0,1,1,0,1,1,0,0,1,0,0
146,19,24,5,28,730,0.4910411966844779,50,1080,1920,17,11,76,3,False,120.0,1,1,0,1,1,0,0,0,1,0
147,15,24,16,43,1032,0.06268179816100095,50,1080,1920,10,14,1,4,True,73.0,1,1,0,1,1,0,0,1,0,0
148,14,24,21,46,477,0.076671853649602,50,1080,1920,16,7,51,3,False,41.0,1,1,0,1,1,0,0,0,1,0
149,16,24,16,47,862,0.31069721620189644,50,1080,1920,20,9,80,3,False,184.0,1,1,0,1,1,0,1,0,0,0
150,22,24,8,32,723,-0.06068382319471857,50,1080,1920,15,9,53,4,True,122.0,1,1,0,1,1,0,0,1,0,0
151,7,24,6,57,684,0.0926873558822888,50,1080,1920,11,17,99,4,True,250.0,1,1,0,1,1,0,0,1,0,0
152,1,24,13,44,792,0.40768600979349057,50,1080,1920,11,8,63,3,True,71.0,1,1,0,1,1,0,1,0,0,0
153,12,24,6,46,955,0.09015261578745072,50,1080,1920,6,13,17,3,True,146.0,1,1,0,1,1,0,1,0,0,0
154,2,24,7,16,755,0.13548582790268426,50,1080,1920,12,12,49,0,False,291.0,1,1,0,1,1,0,0,0,1,0
155,7,24,32,41,511,0.09332017166787072,50,1080,1920,10,10,64,2,True,141.0,1,1,0,1,1,0,0,0,1,0
156,15,24,8,17,744,-0.2348945595769421,50,1080,1920,8,16,2,2,False,210.0,1,1,0,1,1,0,1,0,0,0
157,14,24,6,61,896,0.5733876139875084,50,1080,1920,12,15,74,2,True,128.0,1,1,0,1,1,1,0,0,0,0
158,0,24,7,38,556,-0.022668375133796718,50,1080,1920,17,12,37,2,True,218.0,1,1,0,1,1,1,0,0,0,0
159,2,24,5,44,452,0.34626108360284724,50,1080,1920,10,15,14,4,True,10.0,1,1,0,1,1,0,1,0,0,0
160,12,24,4,11,433,0.3905989504738602,50,1080,1920,13,17,31,5,False,229.0,1,1,0,1,1,0,0,1,0,0
161,9,24,15,40,1310,0.2347934448599906,50,1080,1920,5,9,48,4,False,206.0,1,1,0,1,1,0,0,0,1,0
162,9,24,4,62,669,0.16785028007999994,50,1080,1920,8,12,18,3,False,36.0,1,1,0,1,1,0,0,0,1,0
163,15,24,5,21,696,0.2582389234439486,50,1080,1920,11,19,4,3,True,75.0,1,1,0,1,1,1,0,0,0,0
164,15,24,3,37,625,0.4819556424726804,50,1080,1920,4,12,75,3,False,164.0,1,1,0,1,1,0,0,1,0,0
165,19,24,12,60,873,0.18149441246595746,50,1080,1920,10,12,40,4,False,151.0,1,1,0,1,1,0,0,0,1,0
166,11,24,10,20,1157,0.2819819333747724,50,1080,1920,9,13,3,4,True,62.0,1,1,0,1,1,0,0,0,1,0
167,7,24,11,38,674,0.07891317520626417,50,1080,1920,11,12,49,3,False,225.0,1,1,0,1,1,1,0,0,0,0
168,13,24,3,39,1127,0.04208307374171871,50,1080,1920,6,11,87,3,True,90.0,1,1,0,1,1,0,0,0,1,0
169,22,24,9,54,804,0.21283339939416468,50,1080,1920,23,12,9,3,False,260.0,1,1,0,1,1,0,0,1,0,0
170,7,24,28,31,280,0.1825178387784323,50,1080,1920,7,11,48,3,False,26.0,1,1,0,1,1,1,0,0,0,0
171,10,24,11,53,551,0.3206248395981353,50,1080,1920,10,10,42,3,False,159.0,1,1,0,1,1,1,0,0,0,0
172,8,24,2,38,1009,0.02020043529715392,50,1080,1920,14,13,13,2,False,10.0,1,1,0,1,1,0,0,1,0,0
173,4,24,3,23,410,0.6249552115910848,50,1080,1920,6,11,63,3,True,4.0,1,1,0,1,1,0,0,0,1,0
174,9,24,4,31,1011,0.3120007671072764,50,1080,1920,11,12,46,4,True,56.0,1,1,0,1,1,1,0,0,0,0
175,10,24,5,30,468,0.2337711380831496,50,1080,1920,14,18,12,3,True,92.0,1,1,0,1,1,0,0,0,1,0
176,15,24,9,27,239,0.20160105582655413,50,1080,1920,16,5,52,3,True,169.0,1,1,0,1,1,0,1,0,0,0
177,2,24,6,51,1020,0.4617162323265426,50,1080,1920,14,9,93,3,True,69.0,1,1,0,1,1,0,1,0,0,0
178,14,24,4,34,549,0.31351701717943503,50,1080,1920,8,14,48,2,False,72.0,1,1,0,1,1,0,0,1,0,0
179,5,24,5,20,1017,0.3766325522701927,50,1080,1920,8,11,28,5,True,146.0,1,1,0,1,1,1,0,0,0,0
180,4,24,5,25,554,0.3239294030341594,50,1080,1920,9,14,34,4,True,42.0,1,1,0,1,1,0,0,1,0,0
181,18,24,3,43,1124,-0.07099046892818643,50,1080,1920,6,12,26,2,True,81.0,1,1,0,1,1,0,0,1,0,0
182,17,24,12,31,724,0.10971492330244012,50,1080,1920,11,11,25,2,True,141.0,1,1,0,1,1,0,0,0,1,0
183,13,24,3,31,617,0.04323309245456963,50,1080,1920,7,15,91,1,True,271.0,1,1,0,1,1,0,0,0,1,0
184,10,24,7,25,737,0.14516974840916058,50,1080,1920,12,10,98,2,True,80.0,1,1,0,1,1,0,0,0,1,0
185,14,24,7,29,646,0.2947102805878771,50,1080,1920,8,13,20,3,False,106.0,1,1,0,1,1,0,0,1,0,0
186,6,24,4,41,909,0.08517920442190652,50,1080,1920,11,15,31,1,False,114.0,1,1,0,1,1,0,0,1,0,0
187,12,24,6,66,610,-0.10957229703965993,50,1080,1920,10,10,39,2,True,142.0,1,1,0,1,1,0,0,0,1,0
188,12,24,10,27,1194,0.5239554014027292,50,1080,1920,13,14,87,1,True,102.0,1,1,0,1,1,0,0,0,1,0
189,13,24,6,28,503,0.4610508815252504,50,1080,1920,15,18,74,3,False,164.0,1,1,0,1,1,0,1,0,0,0
190,6,24,4,27,675,0.03274586233538228,50,1080,1920,11,10,4,2,True,208.0,1,1,0,1,1,0,1,0,0,0
191,8,24,3,47,466,0.1129643613059066,50,1080,1920,12,12,59,1,True,37.0,1,1,0,1,1,0,1,0,0,0
192,7,24,17,35,902,0.14980405030203248,50,1080,1920,12,16,27,2,True,63.0,1,1,0,1,1,0,1,0,0,0
193,17,24,7,41,440,-0.09184852734057863,50,1080,1920,13,10,16,4,False,45.0,1,1,0,1,1,0,0,1,0,0
194,13,24,3,46,457,0.4357442051038166,50,1080,1920,5,15,5,2,False,0.0,1,1,0,1,1,0,0,0,1,0
195,15,24,6,72,659,0.4191540298398766,50,1080,1920,14,14,81,3,True,120.0,1,1,0,1,1,0,0,1,0,0
196,11,24,6,5,595,0.09405439239008496,50,1080,1920,8,12,55,4,False,5.0,1,1,0,1,1,1,0,0,0,0
197,3,24,4,41,898,0.1733770411722058,50,1080,1920,13,14,43,4,False,90.0,1,1,0,1,1,1,0,0,0,0
198,10,24,4,52,733,0.5242776170331702,50,1080,1920,11,11,7,3,False,267.0,1,1,0,1,1,0,1,0,0,0
199,15,24,8,30,691,-0.02536950407361238,50,1080,1920,14,10,49,5,True,187.0,1,1,0,1,1,0,1,0,0,0
200,21,24,3,36,677,0.3441699193320924,50,1080,1920,10,9,89,5,False,139.0,1,1,0,1,1,1,0,0,0,0
201,7,24,7,45,817,0.1948370836075686,50,1080,1920,17,14,38,3,True,144.0,1,1,0,1,1,1,0,0,0,0
202,13,24,10,46,894,0.4889959861761362,50,1080,1920,11,13,36,3,True,103.0,1,1,0,1,1,0,0,1,0,0
203,2,24,7,28,606,0.2386274462940064,50,1080,1920,12,11,99,2,False,76.0,1,1,0,1,1,0,0,0,1,0
204,12,24,3,0,405,0.13310597734765978,50,1080,1920,19,11,57,4,True,123.0,1,1,0,1,1,1,0,0,0,0
205,11,24,2,57,1061,0.7122628259619534,50,1080,1920,10,11,81,4,False,41.0,1,1,0,1,1,0,0,1,0,0
206,24,24,8,31,633,-0.2693741518539967,50,1080,1920,12,11,39,3,False,51.0,1,1,0,1,1,0,0,0,1,0
207,14,24,5,19,407,0.0751715596105686,50,1080,1920,9,9,51,2,True,105.0,1,1,0,1,1,1,0,0,0,0
208,8,24,10,35,593,-0.1612253120608939,50,1080,1920,8,12,46,3,False,108.0,1,1,0,1,1,0,0,0,1,0
209,11,24,5,48,827,0.3347412396358292,50,1080,1920,12,11,4,5,True,221.0,1,1,0,1,1,0,0,0,1,0
210,4,24,10,36,407,0.8608590454199242,50,1080,1920,15,13,77,4,False,110.0,1,1,0,1,1,0,1,0,0,0
211,14,24,16,41,327,-0.08092617703533164,50,1080,1920,4,12,93,4,False,6.0,1,1,0,1,1,0,0,1,0,0
212,11,24,6,61,807,0.3309049491635292,50,1080,1920,15,11,37,3,False,98.0,1,1,0,1,1,0,1,0,0,0
